iter	Passed	Remaining
0	154	154331
1	155	77549
2	156	51939
3	157	39119
4	157	31428
5	158	26288
6	159	22609
7	160	19844
8	160	17685
9	161	15961
10	161	14547
11	162	13366
12	163	12377
13	163	11531
14	164	10800
15	165	10154
16	165	9584
17	166	9075
18	166	8620
19	167	8217
20	168	7850
21	169	7519
22	169	7219
23	170	6945
24	171	6689
25	172	6454
26	172	6233
27	173	6034
28	174	5845
29	175	5667
30	176	5501
31	176	5345
32	177	5196
33	177	5055
34	178	4924
35	179	4800
36	179	4684
37	180	4571
38	181	4465
39	181	4364
40	182	4268
41	183	4176
42	183	4088
43	184	4004
44	185	3926
45	185	3853
46	186	3780
47	187	3710
48	187	3643
49	188	3578
50	188	3514
51	189	3455
52	190	3396
53	190	3342
54	191	3291
55	192	3242
56	193	3195
57	193	3149
58	194	3102
59	195	3056
60	195	3011
61	196	2968
62	196	2926
63	197	2886
64	198	2850
65	198	2815
66	199	2779
67	200	2745
68	200	2710
69	201	2677
70	202	2644
71	202	2612
72	203	2582
73	204	2556
74	204	2527
75	205	2499
76	206	2473
77	207	2447
78	207	2420
79	208	2395
80	208	2369
81	209	2346
82	209	2320
83	210	2297
84	211	2275
85	212	2254
86	212	2233
87	213	2212
88	214	2191
89	214	2172
90	215	2152
91	216	2134
92	216	2115
93	217	2097
94	218	2079
95	219	2062
96	219	2045
97	220	2027
98	220	2010
99	221	1994
100	222	1980
101	223	1967
102	224	1951
103	224	1934
104	225	1919
105	225	1905
106	226	1892
107	227	1877
108	227	1863
109	228	1849
110	229	1837
111	230	1824
112	230	1810
113	231	1797
114	231	1784
115	232	1771
116	232	1757
117	233	1745
118	234	1732
119	234	1720
120	235	1711
121	236	1699
122	236	1688
123	237	1678
124	238	1667
125	238	1657
126	239	1645
127	239	1634
128	240	1625
129	241	1615
130	242	1605
131	242	1595
132	243	1586
133	243	1576
134	244	1567
135	245	1558
136	245	1548
137	246	1539
138	247	1530
139	247	1522
140	248	1515
141	249	1505
142	249	1497
143	250	1489
144	251	1480
145	251	1471
146	252	1464
147	252	1455
148	253	1447
149	254	1439
150	254	1432
151	255	1425
152	256	1417
153	256	1409
154	257	1401
155	257	1393
156	258	1386
157	258	1379
158	259	1371
159	259	1364
160	260	1356
161	261	1350
162	261	1343
163	262	1336
164	262	1329
165	263	1323
166	263	1316
167	264	1309
168	264	1302
169	265	1296
170	266	1289
171	266	1283
172	267	1278
173	267	1272
174	268	1265
175	269	1259
176	269	1253
177	270	1247
178	270	1241
179	271	1235
180	271	1229
181	272	1224
182	273	1218
183	273	1214
184	274	1208
185	275	1203
