iter	Passed	Remaining
0	147	147432
1	148	74063
2	149	49585
3	149	37334
4	150	29966
5	151	25049
6	151	21541
7	152	18911
8	153	16869
9	153	15241
10	154	13900
11	155	12777
12	155	11830
13	156	11024
14	157	10314
15	157	9694
16	158	9146
17	158	8658
18	159	8222
19	159	7832
20	160	7487
21	161	7166
22	161	6874
23	162	6604
24	162	6355
25	163	6127
26	164	5912
27	164	5714
28	165	5529
29	165	5357
30	166	5202
31	167	5054
32	167	4913
33	168	4779
34	168	4652
35	169	4532
36	169	4419
37	170	4312
38	170	4210
39	171	4113
40	171	4021
41	172	3935
42	173	3853
43	173	3774
44	174	3697
45	174	3624
46	175	3554
47	175	3487
48	176	3423
49	176	3361
50	177	3301
51	178	3245
52	178	3194
53	179	3144
54	180	3095
55	180	3048
56	181	3003
57	182	2958
58	182	2914
59	183	2871
60	183	2829
61	184	2789
62	184	2750
63	185	2713
64	186	2677
65	186	2641
66	187	2606
67	187	2572
68	188	2539
69	188	2508
70	189	2477
71	189	2446
72	190	2417
73	190	2389
74	191	2361
75	192	2336
76	192	2312
77	193	2287
78	194	2262
79	194	2237
80	195	2213
81	195	2190
82	195	2164
83	196	2142
84	197	2120
85	197	2099
86	198	2079
87	198	2060
88	199	2040
89	199	2020
90	200	2001
91	200	1983
92	201	1964
93	201	1946
94	202	1929
95	203	1912
96	203	1895
97	204	1880
98	204	1864
99	205	1848
100	205	1832
101	206	1817
102	207	1802
103	207	1788
104	208	1773
105	208	1759
106	209	1745
107	209	1732
108	210	1719
109	211	1707
110	211	1695
111	212	1682
112	212	1669
113	213	1657
114	213	1646
115	214	1634
116	214	1622
117	215	1612
118	216	1601
119	217	1593
120	218	1584
121	218	1573
122	219	1563
123	219	1554
124	220	1545
125	221	1535
126	222	1526
127	222	1517
128	223	1509
129	224	1501
130	224	1492
131	225	1484
132	226	1475
133	227	1467
134	227	1459
135	228	1451
136	229	1443
137	229	1436
138	230	1428
139	231	1421
140	232	1414
141	232	1405
142	233	1397
143	233	1389
144	234	1381
145	234	1373
146	235	1365
147	236	1360
148	236	1352
149	237	1345
150	237	1337
151	238	1330
152	239	1323
153	239	1316
154	240	1308
155	240	1301
156	241	1294
157	241	1287
158	242	1282
159	243	1275
160	243	1268
161	243	1261
162	244	1255
163	245	1248
164	245	1242
165	246	1236
166	246	1229
167	247	1223
168	247	1217
169	248	1211
170	248	1206
171	249	1201
172	250	1195
173	250	1189
174	251	1184
175	251	1178
176	252	1172
177	252	1167
178	253	1161
179	253	1156
180	254	1151
181	255	1146
182	255	1141
183	256	1135
184	256	1130
185	257	1125
186	257	1120
187	258	1115
188	258	1110
189	259	1105
190	259	1100
191	260	1096
192	261	1091
193	261	1087
194	262	1082
195	262	1078
196	263	1073
197	263	1069
198	264	1064
199	265	1060
200	265	1055
201	266	1051
202	266	1047
203	267	1042
204	267	1038
205	268	1034
206	269	1030
207	269	1027
208	270	1023
209	271	1019
210	271	1015
211	272	1011
212	272	1007
213	273	1003
214	273	1000
215	274	996
216	275	992
217	275	988
218	276	984
219	276	980
220	277	976
221	277	973
222	278	969
223	278	965
224	279	961
225	279	958
226	280	955
227	281	951
228	281	947
229	282	944
230	282	940
231	283	937
232	283	933
233	284	930
234	284	926
235	285	923
236	285	920
237	286	917
238	287	913
239	287	910
240	288	907
241	288	904
242	289	901
243	289	898
244	290	894
245	290	891
246	291	888
247	292	885
248	292	882
249	293	879
250	293	876
251	294	873
252	294	870
253	295	867
254	296	865
255	296	862
256	297	859
257	297	856
258	298	853
259	298	850
260	299	847
261	300	845
262	300	842
263	301	840
264	302	837
265	302	834
266	303	832
267	303	829
268	304	826
269	304	823
270	305	821
271	306	819
272	306	816
273	307	814
274	307	811
275	308	809
276	309	807
277	309	804
278	310	802
279	311	799
280	311	797
281	312	795
282	312	792
283	313	790
284	313	787
285	314	785
286	315	782
287	315	780
288	316	777
289	316	775
290	317	773
291	317	770
292	318	768
293	319	766
294	319	764
295	320	761
296	320	759
297	321	757
298	322	755
299	322	753
300	323	751
301	324	749
302	325	747
303	325	745
304	326	743
305	327	741
306	327	740
307	328	738
308	329	736
309	329	734
310	330	732
311	331	730
312	331	728
313	332	726
314	333	724
315	334	723
316	334	721
317	335	719
318	336	717
319	336	715
320	337	714
321	338	712
322	339	711
323	340	709
324	340	707
